course_title,professor,location,course_code,course_subject
Intermediate Financial Accounting 1.,Desmond   Tsang ,BRONF 410,351,ACCT
Intermediate Financial Accounting 1.,Desmond   Tsang ,BRONF 001,351,ACCT
Intermediate Financial Accounting 1.,Desmond   Tsang ,BRONF 410,351,ACCT
Intermediate Financial Accounting 1.,Amanda Stephanie  Abrams ,BRONF 410,351,ACCT
Intermediate Financial Accounting 1.,TBA,ARTS 260,351,ACCT
Intermediate Financial Accounting 2.,Amanda Stephanie  Abrams ,BRONF 001,352,ACCT
Intermediate Financial Accounting 2.,Amanda Stephanie  Abrams ,BRONF 001,352,ACCT
Intermediate Financial Accounting 2.,TBA,ENGMD 276,352,ACCT
Financial Statement Analysis.,Julia   Scott ,BRONF 045,354,ACCT
Financial Statement Analysis.,Julia   Scott ,BRONF 179,354,ACCT
Financial Statement Analysis.,TBA,LEA 116,354,ACCT
Management Accounting.,TBA,BRONF 410,361,ACCT
Management Accounting.,TBA,BRONF 410,361,ACCT
Management Accounting.,TBA,BRONF 001,361,ACCT
Management Accounting.,TBA,ARTS W-20,361,ACCT
Cost Accounting.,Philippe   Levy ,BRONF 045,362,ACCT
Cost Accounting.,TBA,ARTS 260,362,ACCT
Principles of Taxation.,Larry   Goldsman ,BRONF 046,385,ACCT
Principles of Taxation.,Larry   Goldsman ,BRONF 046,385,ACCT
Principles of Taxation.,TBA,ENGMD 279,385,ACCT
Advanced Financial Accounting.,Julia   Scott ,BRONF 002,453,ACCT
Advanced Financial Accounting.,TBA,ENGMC 13,453,ACCT
Development of Accounting Thought.,Ralph   Cecere ,BRONF 178,455,ACCT
Management Control.,Philippe   Levy ,BRONF 178,463,ACCT
Management Control.,Philippe   Levy ,BRONF 178,463,ACCT
Management Control.,TBA,LEA 210,463,ACCT
Principles of Auditing.,Ralph   Cecere ,BRONF 011,475,ACCT
Principles of Auditing.,Ralph   Cecere ,BRONF 011,475,ACCT
Principles of Auditing.,TBA,RPHYS 115,475,ACCT
Business Taxation 2.,Larry   Goldsman ,BRONF 046,486,ACCT
Business Taxation 2.,Larry   Goldsman ,BRONF 046,486,ACCT
Business Taxation 2.,TBA,ENGMC 13,486,ACCT
Financial Statements 1.,Desmond   Tsang ,BRONF 310,604,ACCT
Issues in Professional Accounting 1.,TBA,RPHYS 114,653,ACCT
Issues in Professional Accounting 2.,09/02-12/05,Temporarily closed,654,ACCT
Strategic Aspects of Accounting 1.,TBA,RPHYS 114,663,ACCT
Strategic Aspects of Accounting 2.,09/02-12/05,Temporarily closed,664,ACCT
Practice of Taxation.,TBA,BRONF 001,683,ACCT
Practice of Taxation.,TBA,ENGTR 0100,683,ACCT
Assurance Services.,TBA,BRONF 001,687,ACCT
Assurance Services.,TBA,TBA,687,ACCT
Assurance Services.,TBA,MAASS 328,687,ACCT
General Biology.,Gary Brian   Dunphy ,RAYMND 2-046,120,AEBI
Organisms 1.,Olivia   Wilkins ,RAYMND 2-045,210,AEBI
General Chemistry 1.,Alice D  Cherestes ,RAYMND 2-046,110,AECH
Science Literacy.,Carole   Newman | Emily   MacKenzie ,RAYMND 3-011,205,AEHM
Academic and Scientific Writing.,Carole   Newman ,MACSTW 2-026,330,AEHM
Calculus 1.,John F   Hayes ,RAYMND 2-046,101,AEMA
Intermediate Calculus.,David   Titley-Péloquin ,RAYMND 4-047,202,AEMA
Statistical Methods 1.,Pierre R L   Dutilleul | Valérie   Gravel ,RAYMND 2-045,310,AEMA
Statistical Methods 2.,Roger I   Cue ,RAYMND 3-038,610,AEMA
Introductory Physics 1.,David   Titley-Péloquin ,RAYMND 2-045,112,AEPH
Physics 1.,David   Titley-Péloquin ,RAYMND 2-045,113,AEPH
Introduction to African Studies.,Khalid Mustafa  Medani ,ARTS W-215,200,AFRI
Swahili Language and Culture.,TBA,LEA 110,401,AFRI
Principles of Microeconomics.,Nicolas   Kosoy ,RAYMND 2-045,200,AGEC
Farm Management and Finance.,Laurence B B   Baker ,RAYMND 3-037,332,AGEC
Resource Economics.,TBA,BARTON 1-016,333,AGEC
Applied Econometrics.,TBA,BARTON 1-016,425,AGEC
Agro-Ecosystems Field Course.,Caroline B   Begg | Elsa   Vasseur ,CENTEN 1-162,215,AGRI
Soil and Water Quality Management.,Zhiming   Qi | Asim   Biswas ,TBA,435,AGRI
Systemic Human Anatomy.,Louis   Hermo ,SADB M-1,214,ANAT
Introduction to Dynamic Histology.,Craig A.   Mandato | Carlos R   Morales ,STBIO S1/4,261,ANAT
Anatomy/Limbs and Back.,Nicole   Ventura ,ENGMC 304,315,ANAT
Circuitry of the Human Brain.,David S   Ragsdale ,SADB M-1,321,ANAT
Neuroanatomy.,Geoffroy Pierre  Noel ,SADB 2/36,323,ANAT
Cellular Trafficking.,Heidi May  McBride | Timothy E   Kennedy | Peter Scott   McPherson | Wayne Steven   Sossin | Thomas   Stroh ,SADB 1/12,365,ANAT
Experimental Embryology.,Makoto   Nagano | Asangla   Ao | Ri-Cheng   Chian | Hugh   Clarke | Eugene   Daniels | Aimee   Ryan ,SADB 1/12,381,ANAT
Histology.,09/02-12/05,Cancelled,663D1,ANAT
Cell and Developmental Biology.,Nathalie   Lamarche | Alyson Elise   Fournier | Peter Scott   McPherson | Andre   Nantel | Dieter   Reinhardt | Isabelle   Rouiller | Michael   Witcher ,NOROOM ,690D1,ANAT
Principles of Animal Science.,Kevin   Wade ,RAYMND 4-045,250,ANSC
Mammalian Physiology.,Sarah   Kimmins | Denyse   Laurin ,RAYMND 2-046,323,ANSC
Fundamentals of Population Genetics.,Roger I   Cue ,RAYMND 3-037,326,ANSC
Animal Biotechnology.,TBA,RAYMND 3-038,420,ANSC
Swine and Poultry Production.,Raj   Duggavathi ,RAYMND 3-048,458,ANSC
Protein Metabolism and Nutrition.,Sergio Alejandro  Burgos ,TBA,552,ANSC
Advanced Animal Biotechnology.,TBA,RAYMND 3-038,604,ANSC
Socio-Cultural Anthropology.,Edward Otto  Kohn ,MCMED 522,202,ANTH
Human Evolution.,TBA,MDHAR G-10,203,ANTH
Environment and Culture.,TBA,ENGMC 204,206,ANTH
Archaeology of Early Cities.,Nicole Claire  Couture ,LEA 219,210,ANTH
Medical Anthropology.,Margaret Elizabeth  Stevenson ,MCMED 504,227,ANTH
Nomadic Pastoralists.,Philip Carl   Salzman ,ARTS 145,301,ANTH
Chinese Culture in Ethnography and Film.,Sandra Teresa  Hyde ,LEA 212,304,ANTH
Primate Behaviour and Ecology.,Colin Austin   Chapman ,STBIO S1/3,311,ANTH
Zooarchaeology.,TBA,LEA 721,312,ANTH
Social Change in Modern Africa.,TBA,STBIO S1/3,322,ANTH
Anthropology of Latin America.,Samuel Paul Louis  Veissière ,MCMED 1034,326,ANTH
History of Anthropological Theory.,Setrag   Manoukian ,ENGMD 276,352,ANTH
Archaeological Methods.,Gwen P.  Bennett ,LEA 110,357,ANTH
The Process of Anthropological Research.,Diana Keown  Allan ,EDUC 624,358,ANTH
"Mind, Brain and Psychopathology.",Allan   Young ,LEA 721,423,ANTH
Topics in Anthropological Theory.,Setrag   Manoukian ,MOR 328,540,ANTH
Theory 1.,Kristin   Norget ,LEA 819,602,ANTH
Archaeology of Northern China: Post-Han.,Gwen P.  Bennett ,LEA 721,650,ANTH
Ethnohistory.,Ronald   Niezen ,LEA 721,678,ANTH
Ph.D. Preliminary Examination.,TBA,TBA,700,ANTH
"Communication, Behaviour and Architecture.",David   Covo | Pierina   Saia ,MDHAR 212,201,ARCH
Architectural Structures.,Pieter Hindrik  Sijpkes ,MDHAR 212,241,ARCH
Architectural History 1.,Ricardo L   Castro ,MDHAR 212,250,ARCH
Architectural History 1.,Ricardo L   Castro ,MDHAR 212,250,ARCH
Design and Construction 1.,Robert   Mellin ,MDHAR 212,303,ARCH
Design and Construction 1.,Vikram Chandulal  Bhatt ,MDHAR 212,303,ARCH
Design and Construction 1.,TBA,MDHAR G-01,303,ARCH
Design and Construction 1.,TBA,MDHAR G-01,303,ARCH
Architectural Sketching.,David   Covo | Robert   Mellin ,ENGMC 12,325,ARCH
Digital Representation.,TBA,ENGMD 279,342,ARCH
Architectural History 3.,Edward   Houle ,MDHAR 212,354,ARCH
Architectural History 3.,Edward   Houle ,MDHAR 212,354,ARCH
Landscape.,Marc   Hallé ,MDHAR 212,375,ARCH
"Energy, Environment and Buildings.",TBA,MDHAR 212,377,ARCH
"Energy, Environment and Buildings.",TBA,MDHAR 212,377,ARCH
Design and Construction 3.,Aaron   Sprecher ,MDHAR 212,405,ARCH
Design and Construction 3.,Howard   Davies ,MDHAR 212,405,ARCH
Design and Construction 3.,TBA,MDHAR 420,405,ARCH
Design and Construction 3.,TBA,MDHAR 420,405,ARCH
Lighting.,Conor   Sampson ,MDHAR 212,447,ARCH
Lighting.,Conor   Sampson ,MDHAR 212,447,ARCH
Sustainable Residential Development.,Abraham   Friedman ,MDHAR 212,517,ARCH
Sustainable Residential Development.,Abraham   Friedman ,MDHAR 212,517,ARCH
Sustainable Residential Development.,Abraham   Friedman ,MDHAR 212,517,ARCH
Sustainable Residential Development.,Abraham   Friedman ,MDHAR 212,517,ARCH
Housing Theory.,Vikram Chandulal  Bhatt ,MDHAR 212,529,ARCH
Housing Theory.,Vikram Chandulal  Bhatt ,MDHAR 212,529,ARCH
Housing Theory.,Vikram Chandulal  Bhatt ,MDHAR 212,529,ARCH
Housing Theory.,Vikram Chandulal  Bhatt ,MDHAR 212,529,ARCH
Architectural Intentions Vitruvius - Renaissance.,Alberto   Perez-Gomez ,MDHAR 212,531,ARCH
Architectural Intentions Vitruvius - Renaissance.,Alberto   Perez-Gomez ,MDHAR 212,531,ARCH
History of Architecture in Canada.,Julia   Gersovitz ,MDHAR 207,535,ARCH
History of Architecture in Canada.,Julia   Gersovitz ,MDHAR 207,535,ARCH
History of Architecture in Canada.,Julia   Gersovitz ,MDHAR 207,535,ARCH
Urban Planning and Development.,Nicholas James  Luka ,ENGMC 304,550,ARCH
Research Methods for Architects.,Annmarie   Adams ,WONG 1030,627,ARCH
Research Methods for Architects.,Annmarie   Adams ,WONG 1030,627,ARCH
Architectural Design 1.,David   Theodore ,MDHAR 212,672,ARCH
Architectural Design 1.,Michael   Jemtrud ,MDHAR 420,672,ARCH
Architectural Design 1.,Annmarie   Adams ,MDHAR 212,672,ARCH
Architectural Design 3.,Aysenur Ipek  Türeli ,MDHAR 420,677,ARCH
Advanced Construction.,TBA,WONG 1030,678,ARCH
Field Sketching.,David   Covo | Robert   Mellin ,MDHAR 212,680,ARCH
Directed Research Project 2.,Howard   Davies ,MDHAR 207,683,ARCH
Contemporary Theory 1.,Aysenur Ipek  Türeli ,TBA,684,ARCH
Contemporary Theory 1.,Aysenur Ipek  Türeli ,TBA,684,ARCH
Introduction to Medieval Art and Architecture.,Cecily   Hilsdale ,ARTS W-215,204,ARTH
Introduction to Modern Art.,Mary J  Hunter ,ARTS W-215,205,ARTH
Introduction Early Modern Art 1400-1700.,Engeline Christine  Vanhaelen ,ARTS W-215,207,ARTH
Introduction to East Asian Art.,TBA,ARTS W-215,215,ARTH
Introduction to Eighteenth-Century Art and Architecture.,Matthew Chambers  Hunter ,ARTS W-215,226,ARTH
Indigenous Art and Culture.,TBA,ARTS W-215,315,ARTH
Modern Art and Theory: WWI - WWII.,TBA,ARTS W-215,338,ARTH
Selected Topics Art History 2.,William O   Straw ,ARTS W-215,354,ARTH
Selected Topics in Art and Architecture 1.,Christine   Ross ,ARTS W-220,420,ARTH
Selected Topics in Art and Architecture 2.,TBA,ARTS W-220,421,ARTH
Introduction to Atmospheric Science.,Parisa A   Ariya ,ARTS W-120,181,ATOC
Natural Disasters.,John   Stix | John Richard   Gyakum ,LEA 132,185,ATOC
Introduction: Physics of the Atmosphere.,Andreas   Zuend ,BURN 1B36,214,ATOC
Rotating Fluid Dynamics.,David N   Straub ,BURN 719A,312,ATOC
Thermodynamics and Convection.,Evangelia   Ioannidou ,BURN 708,315,ATOC
Atmospheric and Oceanic Dynamics.,Peter   Bartello ,BURN 708,512,ATOC
Cloud Physics.,Andreas   Zuend ,TBA,521,ATOC
Atmospheric Radiation.,Yi   Huang ,BURN 719A,525,ATOC
Paleoclimate Dynamics.,TBA,TBA,530,ATOC
Dynamics of Current Climates.,Timothy M.  Merlis ,BURN 708,531,ATOC
Synoptic Meteorology 1.,Eyad Hashem   Atallah ,BURN 708,540,ATOC
Current Weather Discussion.,TBA,TBA,546,ATOC
Special Topics Meteorology and Oceanography.,Parisa A   Ariya ,BURN 934,550,ATOC
Numerical Methods and Laboratory.,09/02-12/05,Cancelled,558,ATOC
Ocean Physics.,TBA,TBA,568,ATOC
Mesoscale Meteorology.,TBA,TBA,646,ATOC
"Atmospheric, Oceanic and Climate Dynamics.",Andreas   Zuend ,BURN 934,752D1,ATOC
Arts & Science Integrative Topics.,Enid Gabriella  Coleman ,ENGTR 0100,201,BASC
Introduction to Bioengineering.,Dan Veniamin  Nicolau ,WONG 1050,200,BIEN
Introduction to Biomolecular Engineering.,Yu   Xia ,WONG 1050,310,BIEN
"Molecular, Cellular and Tissue Biomechanics.",Allen Joseph  Ehrlicher ,WONG 1050,320,BIEN
Engineering Principles in Physiological Systems.,Georgios   Mitsis ,WONG 1030,462,BIEN
Nanoparticles in the Medical Sciences.,Joseph Matthew  Kinsella ,WONG 1050,510,BIEN
High Throughput Bioanalytical Devices.,Dan Veniamin  Nicolau ,WONG 1030,520,BIEN
Biomolecular Devices.,Adam Gerald  Hendricks ,WONG 1050,550,BIEN
Active Mechanics in Biology.,Allen Joseph  Ehrlicher ,TBA,570,BIEN
Bioinformatics: Molecular Biology.,Martina Viktoria  Stromvik ,SH688 491,621,BINF
Metabolic Biochemistry.,Julie   St-Pierre | Sidong   Huang | Robert Scott  Kiss | Thomas Martin   Schmeing | Michel   Tremblay ,MCMED 522,311,BIOC
Laboratory Methods in Biochemistry and Molecular Biology 2.,Jose Guerreiro   Teodoro ,MCMED 521,320,BIOC
Protein Structure and Function.,Bhushan   Nagar | Albert Marinus  Berghuis | Kalle Burgess   Gehring | Peter Duncan  Pawelek | Enrico   Purisima | Isabelle   Rouiller | Reza   Salavati | Thomas Martin   Schmeing | Jason Chong  Young | Christopher James  von Roretz ,ENGTR 1100,450,BIOC
