Issues in Professional Accounting 1.,TBA,RPHYS 114,653,ACCT
Issues in Professional Accounting 2.,09/02-12/05,Temporarily closed,654,ACCT
Chinese Culture in Ethnography and Film.,Sandra Teresa  Hyde ,LEA 212,304,ANTH
Social Change in Modern Africa.,TBA,STBIO S1/3,322,ANTH
Topics in Anthropological Theory.,Setrag   Manoukian ,MOR 328,540,ANTH
History of Architecture in Canada.,Julia   Gersovitz ,MDHAR 207,535,ARCH
History of Architecture in Canada.,Julia   Gersovitz ,MDHAR 207,535,ARCH
History of Architecture in Canada.,Julia   Gersovitz ,MDHAR 207,535,ARCH
Selected Topics in Art and Architecture 1.,Christine   Ross ,ARTS W-220,420,ARTH
Selected Topics in Art and Architecture 2.,TBA,ARTS W-220,421,ARTH
Engineering Principles in Physiological Systems.,Georgios   Mitsis ,WONG 1030,462,BIEN
Nanoparticles in the Medical Sciences.,Joseph Matthew  Kinsella ,WONG 1050,510,BIEN
Active Mechanics in Biology.,Allen Joseph  Ehrlicher ,TBA,570,BIEN
Laboratory Methods in Biochemistry and Molecular Biology 2.,Jose Guerreiro   Teodoro ,MCMED 521,320,BIOC
Advanced Strategies in Genetics and Genomics.,Thomas   Duchaine | Maxime   Bouchard | Josee   Dostie | Vincent   Giguere | Michael Trevor   Hallett | Russell G.  Jones | Jacek Andrzej  Majewski | Alexandre   Montpetit | Jose Guerreiro   Teodoro ,TBA,600,BIOC
Methods in Biology of Organisms.,Elena Melania  Cristescu | Gregor Florian  Fussmann | Louis   Lefebvre | Andrea   Miller-Nesbitt | Daniel J   Schoen ,STBIO N2/2,206,BIOL
Mathematical Models in Biology.,Leon   Glass ,MCMED 1034,309,BIOL
Advances in Molecular/Cellular Neurobiology.,Kenneth E M   Hastings | Salvatore T   Carbonetto ,STBIO W2/3B,588,BIOL
Recent Advances in Biology 1.,TBA,TBA,650,BIOL
Recent Advances in Biology 1.,TBA,TBA,650,BIOL
Recent Advances in Biology 2.,TBA,TBA,651,BIOL
Recent Advances in Biology 2.,TBA,TBA,651,BIOL
Recent Advances in Biology 3.,TBA,TBA,652,BIOL
Selected Topics in Biotechnology.,Elias   Georges ,STBIO S3/3,505,BIOT
Selected Topics in Biomedical Engineering.,W Robert J   Funnell ,DUFF 321,501,BMDE
Finite-Element Modelling in Biomedical Engineering.,W Robert J   Funnell ,DUFF 321,512,BMDE
Special Problems in Bioresource Engineering 1.,Valerie   Orsat ,TBA,608,BREE
Special Problems in Bioresource Engineering 2.,Valerie   Orsat ,TBA,702,BREE
Management in Global Context.,Myung-Soo   Jo ,BRONF 410,356,BUSA
Management in Global Context.,Myung-Soo   Jo ,BRONF 002,356,BUSA
Management in Global Context.,Myung-Soo   Jo ,BRONF 045,356,BUSA
Management in Global Context.,Myung-Soo   Jo ,BRONF 002,356,BUSA
Topics in International Business 1.,TBA,BRONF 011,433,BUSA
Managing in North America.,TBA,BRONF 210,481,BUSA
Advanced Topics in Management 2.,Michael M   Avedesian ,BRONF 340,691,BUSA
Advanced Topics in Management 3.,TBA,BRONF 340,692,BUSA
Advanced Assessment in Couple and Family Therapy.,Guylaine   Seguin ,LEA 210,602,CAFT
Topics in Canadian Studies 2.,TBA,ARTS W-20,301,CANS
Current Trends in Digital Communication.,Michelle   Sullivan ,LEA 116,110,CBUS
Communication in Management 1.,TBA,LEA 210,205,CCOM
