Circuitry of the Human Brain.,David S   Ragsdale ,SADB M-1,321,ANAT
Introduction: Physics of the Atmosphere.,Andreas   Zuend ,BURN 1B36,214,ATOC
Nanoparticles in the Medical Sciences.,Joseph Matthew  Kinsella ,WONG 1050,510,BIEN
Molecular Biology of the Gene.,Frieder Bernd  Schöck | Nam Sung   Moon ,STBIO S1/3,300,BIOL
Creating the Small Business.,Alexander Edward  Kalil ,BRONF 340,664,BUSA
Creating the Small Business.,Alexander Edward  Kalil ,LEA 15,664,BUSA
Introduction to the Study of Canada.,TBA,WONG 1020,200,CANS
Introduction to the Study of Canada.,TBA,SADB 1/12,200,CANS
Mystery and the Imagination.,John   Zucchi ,LEA 424,325,CATH
Nanomaterials and the Aquatic Environment.,09/02-12/05,Cancelled,521,CIVE
Economics of the Environment.,TBA,SADB M-1,225,ECON
Managing the Inclusive Classroom.,TBA,TBA,440,EDPI
Managing the Inclusive Classroom.,TBA,TBA,440,EDPI
English Literature and the Bible.,Theodore W   Folkerth ,SADB 1/12,204,ENGL
Costuming for the Theatre 1.,Catherine A   Bradley ,ARTS B-60,365,ENGL
Geology in the Field.,Christen Danielle   Rowe ,ADAMS 348,240,EPSC
Investigating the Earth System.,Jeffrey Marshall  McKenzie | Margaret   Kalacska ,BURN 511,300,ESYS
Introduction to the Engineering Profession.,Andrew G   Kirk ,SADB M-1,100,FACC
Introduction to the Engineering Profession.,Andrew G   Kirk ,SADB M-1,100,FACC
Selected Topics in the Faculty of Engineering 1.,TBA,LEA 116,510,FACC
Pesticides and the Environment (152-VSF-MC).,Serge   Lussier ,CENTEN 1-150,006,FMT4
Geography of the World Economy.,Oliver T   Coomes | Sebastien Mathieu  Breau ,ADAMS AUD,216,GEOG
Modernism and the Avant-Garde.,09/02-12/05,Cancelled,350,GERM
Natives of the Americas.,Allan   Greer ,LEA 26,223,HIST
Natives of the Americas.,TBA,STBIO S4/106,223,HIST
Health and the Healer in Western History.,Faith   Wallis | George   Weisz ,LEA 219,249,HIST
Canada and the World.,Laura   Madokoro ,TBA,342,HIST
Formation of the Professional and Healer.,TBA,TBA,320J1,INDS
Introduction to the Study of Language.,TBA,DUFF THTR 1,200,LING
Introduction to the Minerals Industry.,Hani   Mitri | Kristian Edmund  Waters ,ENGMC 11,200,MIME
Instruments of the Orchestra.,Jean   Lesage ,MUSIC C-412,260,MUCO
