BUILDING,LOCATION,DEPT,BW,COLOR
ADAMS,237,Earth & Planetary Sciences,1,0
ADAMS,22D,Engineering Careeer Centre,0,1
ADAMS,23-A,Faculty of Sciences,1,0
ADAMS,6,McGill Inst. for Advanced Materials,0,1
ADAMS,123A,Mining & Metallurgical Eng.,1,0
ADAMS,Main Floor Lobby,Public Use,1,0
ADAMS,Outside  Room 6,Public Use,0,1
ADAMS,1,Public Use,0,1
ARTS,W-225,Art History & Communications,1,0
ARTS,Basement room A,English,1,0
ARTS,Basement room A,English,1,0
ARTS,136,Faculty of ARTS,0,1
ARTS,Outside room 265,Langue et littérature françaises,1,0
ARTS,Basement hallway,Public Use,1,0
BARTON,207,McGill Library,0,1
BARTON,Outside room 204,Public Use,0,1
BARTON,Outside room 204,Public Use,1,0
BARTON,206,Public Use,1,0
BARTON,Outside room 307,Public Use,1,0
BARTON,213,Public Use,0,1
BARTON,213,Public Use,1,0
BIRKS,102A,Faculty of Religious Studies,1,0
BIRKS,302,Faculty of Religious Studies,1,0
BIRKS,115,Public Use,0,1
BOOKSTORE,304,Bookstore,0,1
BOOKSTORE,B-113,Bookstore,1,0
BOOKSTORE,2nd Floor Hallway,Bookstore,1,0
BRONF,302,Faculty of Management,0,1
BRONF,649,Faculty of Management,1,0
BRONF,110,Faculty of Management,1,0
BRONF,454,Faculty of Management,0,1
BRONF,454,Faculty of Management,1,0
BRONF,104,Faculty of Management,0,1
BRONF,476,Faculty of Management,1,0
BRONF,476,Faculty of Management,0,1
BRONF,381,Faculty of Management,0,1
BRONF,650,Faculty of Management,0,1
BRONF,Outside room 517,Faculty of Management,0,1
BRONF,Outside room 561,Faculty of Management,1,0
BRONF,Outside room 543,Faculty of Management,1,0
BRONF,Outside room 425,Public Use,1,0
BRONF,2nd Floor Hallway,Public Use,0,1
BRONF,2nd Floor Hallway,Public Use,0,1
BRONF,007,Public Use,0,1
BRONF,007,Public Use,0,1
BRONF,350,Public Use,0,1
BRONF,Outside room 17,Public Use,0,1
BRONF,2nd Floor Hallway,Public Use,0,1
BRONF,007,Public Use,0,1
BRONF,350,Public Use,0,1
BROWNS,2200,Student Services,0,1
BROWNS,3303,Student Services,1,0
BROWNS,3200,Student Services,1,0
BROWNS,4200,Student Services,1,0
BROWNS,4100,Student Services,1,0
BROWNS,5500,Student Services,1,0
BROWNS,3203,Student Services,0,1
BROWNS,3105,Student Services,0,1
BROWNS,2100,Student Services,1,0
BROWNS,4400,Student Services,1,0
BURN,Middle of Garage,Facilities Management,1,0
BURN,942,Atmospheric & Oceanic Sciences,1,0
BURN,703,Climate & Global Change Research,1,0
BURN,1b16,Computer Task Force,0,1
BURN,1b17,Computer Task Force,0,1
BURN,1b18,Computer Task Force,0,1
BURN,1b17,Computer Task Force,0,1
BURN,1b16,Computer Task Force,0,1
BURN,703,Geography,1,0
BURN,427,Geography,0,1
BURN,1011,Mathematics & Statistics,1,0
BURN,1011,Mathematics & Statistics,1,0
BURN,107,Multimedia & Events Support,0,1
BURN,200,NCS,0,1
BURN,200,NCS,0,1
BURN,1B50,NCS,1,0
BURN,1B7,NCS,0,1
BURN,5th Floor Hallway,Public Use,0,1
BURN,5th Floor Hallway ,Public Use,1,0
BURN,5th Floor Hallway,Public Use,1,0
BURN,Outside room 1B39,Public Use,0,1
BURN,123,Security,0,1
BURN,115F,Security,0,1
BURN,1B-21,SUS,1,0
C4,312,Public Use,1,0
C4,201,Student Housing & Hospitality,1,0
C4,207,Student Housing & Hospitality,0,1
CENTEN,CCB-05,Lyman Entomological Museum,1,0
CENTEN,Outside room CC1-160,Public Use,1,0
CENTEN,CC1-132,Macdonald Campus Student Services,1,0
CDH,620,Faculty of Law,1,0
CDH,433,Faculty of Law,1,0
CDH,409,Faculty of Law,1,0
CDH,Outside room 300A,Faculty of Law,1,0
CDH,Outside room 500A,Faculty of Law,1,0
CDH,14,Faculty of Law,1,0
CDH,25,Faculty of Law,1,0
CMH,207,Health & Social Policy Inst.,0,1
CURRIE,225,Athletics,1,0
CURRIE,G-21,Athletics,1,0
CURRIE,210,Kinesiology & Physical Education,1,0
CURRIE,G55,McGill Library,0,1
CURRIE,A207,Public Use,0,1
CURRIE,Outside room 352,Public Use,0,1
CURRIE,233,Exam Office - TEMP,1,0
DAVIS,D6,Physical & Occupational Therapy,1,0
DAWSON,Basement,ARTS & Sciences Admin. Services,1,0
DAWSON,215,Faculty of ARTS,1,0
DAWSON,3rd Floor Hallway,Faculty of Sciences,1,0
MOUNTAIN3605,Basement,Faculty of Medicine,0,1
MOUNTAIN3605,313,Faculty of Medicine,0,1
MOUNTAIN3605,113,Faculty of Medicine,0,1
MOUNTAIN3605,211,Faculty of Medicine,0,1
UNIH,154,Student Housing & Hospitality,1,0
DUFF,312-B,Biomedical Engineering,0,1
DUFF,C18,Medicine - AEC2,0,1
DUFF,Outside room 514,Microbiology & Immunology,1,0
DUFF,511,Microbiology&  Immunology,0,1
DUFF,B-14,Pathology,0,1
DUFF,A6,Sheldon Biotechnology Centre,1,0
DUFF,4th Floor Hallway,Microbiology&  Immunology,1,0
DUFF,6th Floor Hallway,Microbiology&  Immunology,1,0
DUGGAN,202,Educational & Counselling Psych.,1,0
EDUC,243,Faculty of Education,1,0
EDUC,431B,Faculty of Education,1,0
EDUC,614,Faculty of Education,0,1
EDUC,113,Faculty of Education,1,0
